bin,mean,std
26.0,417.56354855533806,4.206054847771178
28.0,417.44507430347926,4.342304382859478
30.0,418.2213079877524,4.848812891585527
32.0,418.70024719561144,5.0708957157081676
34.0,418.46241483349473,5.0964519196546165
36.0,418.49681066060606,5.218086705280391
38.0,418.19465169799327,5.472634490244233
40.0,416.59754509831083,6.002762711220913
42.0,415.26603810852293,6.1864563767141965
44.0,413.5727984090578,6.499785225512932
46.0,412.637784121452,6.3792513454227855
48.0,411.6466748142718,6.363501729664256
50.0,410.5269510981818,5.884568171155346
52.0,409.4638951756363,5.684645005918727
54.0,409.5277529291072,5.915692238946618
56.0,409.7446072357466,5.811337969962055
58.0,408.75173435607473,5.453664481861054
60.0,410.14292591717793,5.993024096614543
62.0,409.5158515521739,5.770165716901578
64.0,411.746608625,6.9157584722343755
