bin,mean,std
26.0,16.017981786832763,2.629165739647314
28.0,16.440788907519664,2.433533749865372
30.0,15.59077121581429,2.6022419428886168
32.0,14.053305063453262,2.194683796906613
34.0,13.431209957949982,2.2157313681721607
36.0,11.584376816115723,2.5247397688773012
38.0,10.613213177173936,2.074578178310273
40.0,8.873348628667976,2.457809517274427
42.0,7.7110431455937345,2.966722265331195
44.0,8.190813014575765,3.581110216749833
46.0,7.424957529901581,3.5163708143937984
48.0,6.866893345445712,2.8988786804159514
50.0,7.0839566907125535,2.1512579939457703
52.0,7.742111547345477,1.3716631863367579
54.0,6.893317240357166,1.3630859570077187
56.0,5.567236295475135,1.2386616221819664
58.0,4.900209292523388,1.3841103186764823
60.0,3.4557310276073827,1.3587571530251579
62.0,1.088823421739142,1.5719561196884027
64.0,-1.9314178730769014,3.4327051433409026
