bin,mean,std
26.0,26.370364743362988,5.660303311807998
28.0,28.767336258253646,5.438248697761668
30.0,29.976031124917228,6.738052367412839
32.0,32.843401809913665,6.26289232845563
34.0,31.74622731026473,6.590833495661366
36.0,33.2689840430303,7.065851995059154
38.0,32.72808366795903,7.061414068653658
40.0,30.189286115272683,5.8472459800090535
42.0,27.508044373720317,6.445852858506209
44.0,26.541886329168662,6.395430630832446
46.0,26.549096681538554,6.382373854942461
48.0,25.923345502064784,5.792653471734778
50.0,24.672138026009826,5.316928269127469
52.0,22.540378751495272,3.96263351404845
54.0,21.580397522996428,3.4677927952942738
56.0,22.894917123529417,4.017610848233555
58.0,24.216890744112145,3.0519870556901756
60.0,22.24774392969325,2.8745195709665983
62.0,19.819428015652175,1.714285704099029
64.0,20.384258220769233,3.91045025692421
