bin,mean,std
26.0,0.32749163701067613,0.12143284533643149
28.0,0.34239932659932665,0.1273261640567978
30.0,0.34847032301480485,0.12142927462394094
32.0,0.30207769784172667,0.10216904411100351
34.0,0.33343204196933013,0.13366025159139586
36.0,0.3466841597796143,0.17286246789554596
38.0,0.3442385451505017,0.16318619193532166
40.0,0.349196332046332,0.16702253456400182
42.0,0.3863021100537857,0.16238486888575723
44.0,0.4018996356064549,0.15051461321799586
46.0,0.36745549630844954,0.1338891857210864
48.0,0.412852411105699,0.14153416559085916
50.0,0.4251735135135135,0.1328305712909246
52.0,0.4073724363636363,0.1259850470935144
54.0,0.38747624999999997,0.13356514056902427
56.0,0.3769316742081449,0.12112608326251739
58.0,0.3992719626168224,0.15996904302996826
60.0,0.3908723926380368,0.11207741588716254
62.0,0.4132608695652174,0.08093745700891487
64.0,0.3973480769230769,0.11644214392099263
