bin,mean,std
26.0,119.00355871886121,21.915479542170143
28.0,112.77665544332211,19.160042902686722
30.0,108.10094212651413,17.2243305542599
32.0,108.21654676258993,18.34928535303862
34.0,110.74899112187248,16.301609823576165
36.0,120.21831955922865,17.973078135700256
38.0,119.36454849498328,19.574851128488763
40.0,117.8354247104247,19.803339094667486
42.0,117.51220521307405,21.934682156763788
44.0,112.8172826652785,22.087762884521577
46.0,111.55824446267432,20.9965740914866
48.0,112.44861178762787,17.557723719858757
50.0,114.46830466830467,16.565389834504156
52.0,113.73381818181818,16.76855449843373
54.0,116.76607142857142,19.58836915097574
56.0,122.02714932126698,17.02989613772985
58.0,133.1214953271028,16.703970248508654
60.0,137.96932515337423,10.530367021425782
62.0,146.08695652173913,9.518462807381292
64.0,154.96153846153845,8.840382732885795
