bin,mean,std
26.0,282.0871886120996,23.125863560215574
28.0,279.7744107744108,23.1357594029002
30.0,280.464333781965,20.617839263331877
32.0,281.5589928057554,19.935050340520462
34.0,281.0863599677159,16.488501128913185
36.0,275.9207988980716,18.872887324036668
38.0,277.05602006688963,18.611214268142593
40.0,274.4734555984556,26.309695315520454
42.0,276.85188249896567,24.51403534325501
44.0,272.80322748568454,24.854554737453636
46.0,276.14520098441346,21.229850736293038
48.0,275.40087676570874,21.540739259437444
50.0,272.97641277641276,20.30653140244925
52.0,278.20363636363635,19.238427110498154
54.0,279.1589285714286,21.82179674402993
56.0,276.95927601809956,16.993295654857732
58.0,276.69158878504675,18.107369912257095
60.0,272.07975460122697,15.393800678399161
62.0,263.69565217391306,14.183379074324057
64.0,249.26923076923077,14.894649768154213
