bin,mean,std
26.0,-0.2145699991010514,0.6248701009638591
28.0,-0.11352628833860356,0.5691784721835113
30.0,-0.10898883275312743,0.5065226546556728
32.0,-0.3004748443452888,0.4782684169168964
34.0,-0.11682866882076576,0.4807768051766808
36.0,-0.1645213643926311,0.47025340740549243
38.0,-0.21408778180778473,0.46360365647942875
40.0,-0.1810686878944873,0.5071386395461654
42.0,-0.07521248277244222,0.48204251069790305
44.0,-0.007158586497230816,0.47197005319861024
46.0,-0.11501594627516121,0.4847324401941907
48.0,-0.127743029028085,0.4584548055245629
50.0,-0.17968480340857915,0.4597013799666346
52.0,-0.18802396976292698,0.45462409909487966
54.0,-0.1571662260706778,0.4640555044271467
56.0,0.03956260245990641,0.5185453407814198
58.0,,
60.0,-0.010663474001655479,0.4495751686063225
62.0,,
64.0,0.16527156033226195,0.35132360545231195
