Unnamed: 0,lat,lon,r_spring,p_spring,r_autumn,p_autumn,r_summer,p_summer,r_all,p_all
56,22.7244,114.2283,0.091651671,0.060556555,-0.882360967,0.007842602,-0.822821751,0.025653135,-0.673126908,0.035326769
57,22.735,108.3275,0.220305737,0.057239266,-0.9446382,0.014188393,0.367088378,,-0.711077687,
58,22.735,108.3275,0.220305737,0.057239266,-0.9446382,0.014188393,0.367088378,,-0.711077687,
59,22.735,108.3275,0.220305737,0.057239266,-0.9446382,0.014188393,0.367088378,,-0.711077687,
60,22.735,108.3275,0.220305737,0.057239266,-0.9446382,0.014188393,0.367088378,,-0.711077687,
61,22.735,108.3275,0.220305737,0.057239266,-0.9446382,0.014188393,0.367088378,,-0.711077687,
62,22.735,108.3275,0.220305737,0.057239266,-0.9446382,0.014188393,0.367088378,,-0.711077687,
63,22.775,115.3653,0.387193171,0.04979262,0.891382936,0.019964782,0.531120864,,-0.910855277,
64,22.775,115.3653,0.387193171,0.04979262,0.891382936,0.019964782,0.531120864,,-0.910855277,
65,22.775,115.3653,0.387193171,0.04979262,0.891382936,0.019964782,0.531120864,,-0.910855277,
66,22.775,115.3653,0.387193171,0.04979262,0.891382936,0.019964782,0.531120864,,-0.910855277,
67,22.775,115.3653,0.387193171,0.04979262,0.891382936,0.019964782,0.531120864,,-0.910855277,
68,22.775,114.6517,0.387193171,0.04979262,0.891382936,0.019964782,0.531120864,,-0.910855277,
69,22.8467,108.2397,-0.751611449,0.030570252,0.995827881,0.003878228,0.624296082,,0.277494506,
70,22.8467,108.2397,-0.751611449,0.030570252,0.995827881,0.003878228,0.624296082,,0.277494506,
71,22.8467,108.2397,-0.751611449,0.030570252,0.995827881,0.003878228,0.624296082,,0.277494506,
72,22.8467,108.2397,-0.751611449,0.030570252,0.995827881,0.003878228,0.624296082,,0.277494506,
73,22.8467,108.2397,-0.751611449,0.030570252,0.995827881,0.003878228,0.624296082,,0.277494506,
74,22.8467,108.2397,-0.751611449,0.030570252,0.995827881,0.003878228,0.624296082,,0.277494506,
75,22.9394,112.0369,-0.312511884,0.053177279,-0.651591934,0.036546863,-0.188823671,,-0.998634126,
76,22.9394,112.0369,-0.312511884,0.053177279,-0.651591934,0.036546863,-0.188823671,,-0.998634126,
77,22.9394,112.0369,-0.312511884,0.053177279,-0.651591934,0.036546863,-0.188823671,,-0.998634126,
78,22.9394,112.0369,-0.312511884,0.053177279,-0.651591934,0.036546863,-0.188823671,,-0.998634126,
79,22.9394,112.0369,-0.312511884,0.053177279,-0.651591934,0.036546863,-0.188823671,,-0.998634126,
80,22.9394,112.0369,-0.312511884,0.053177279,-0.651591934,0.036546863,-0.188823671,,-0.998634126,
81,22.9483,113.3505,0.952700787,0.013105623,-0.121569532,0.061494301,0.878944483,,0.633712306,
82,22.9483,113.3505,0.952700787,0.013105623,-0.121569532,0.061494301,0.878944483,,0.633712306,
83,22.9483,113.3505,0.952700787,0.013105623,-0.121569532,0.061494301,0.878944483,,0.633712306,
84,22.9483,113.3505,0.952700787,0.013105623,-0.121569532,0.061494301,0.878944483,,0.633712306,
85,22.9483,113.3505,0.952700787,0.013105623,-0.121569532,0.061494301,0.878944483,,0.633712306,
86,22.9483,113.3505,0.952700787,0.013105623,-0.121569532,0.061494301,0.878944483,,0.633712306,
87,22.9539,112.0539,-0.64510974,0.036908219,0.026836603,0.065527549,-0.669724324,,0.981499095,
88,22.9539,112.0539,-0.64510974,0.036908219,0.026836603,0.065527549,-0.669724324,,0.981499095,
89,22.9539,112.0539,-0.64510974,0.036908219,0.026836603,0.065527549,-0.669724324,,0.981499095,
90,22.9539,112.0539,-0.64510974,0.036908219,0.026836603,0.065527549,-0.669724324,,0.981499095,
