bin,mean,std
25.5,-0.17631261499626644,0.7803630195469188
26.5,-0.07253917044131224,0.716571010337355
27.5,0.0532421376953416,0.6599259034354288
28.5,0.06987691205989514,0.6468959683754536
29.5,-0.09939169646457378,0.6112898876679101
30.5,-0.0880193288865869,0.6079847692488455
31.5,-0.08082874418576111,0.6300898300699498
32.5,-0.023211853497813236,0.5976014479526802
33.5,-0.014309215101227006,0.5888595714682328
34.5,-0.04763219017630002,0.6162891942073998
35.5,-0.05528388125402721,0.5648285203510108
36.5,-0.11076604707769452,0.6066882161766118
37.5,0.016636488299144665,0.64565792529266
38.5,0.053922872057556505,0.5796430463048668
39.5,-0.0659447889418069,0.5425857409035248
40.5,-0.06411633391730644,0.5717331900336878
41.5,-0.02807846650242838,0.5425980647020944
42.5,-0.10614357141784432,0.5690931478589681
43.5,-0.10788539581048956,0.5676162015563608
44.5,-0.2146507753372735,0.58652556168234
45.5,-0.23603534313460592,0.546724654036195
46.5,-0.12167478930047486,0.5595034451183064
47.5,-0.09908192647941899,0.5368247140262866
48.5,-0.061196219761644736,0.5465106790931736
49.5,-0.1339034341966191,0.49068798871064284
50.5,-0.1967532469123501,0.5664834029039139
51.5,-0.06285526667175435,0.5448999977707649
52.5,0.01619033618102386,0.5932360705659829
53.5,0.02757875217537773,0.590803802372665
54.5,0.07813049446357222,0.5924350428946225
