bin,mean,std
26.0,22.37291992740216,3.6642971803959288
28.0,24.76215236891136,2.379445820378245
30.0,24.411060496164218,2.424155601010648
32.0,23.948845174100747,2.190548980923466
34.0,22.662638290395503,2.292830970483696
36.0,21.326674223140518,2.7267514886037056
38.0,21.18489236262544,2.11672529533245
40.0,20.05140160598458,2.1612181101171553
42.0,18.964334442532085,2.250722307011158
44.0,18.2135375776679,2.341977234232782
46.0,17.30727259680068,2.6554720805092193
48.0,15.872871963273282,2.153706717548395
50.0,15.733016080491423,1.5146644493847454
52.0,16.072672520145478,1.210886850343042
54.0,15.06193016107145,1.3495965378963086
56.0,14.1515569728507,1.409247478854275
58.0,13.459409826168246,1.226398587861553
60.0,13.224714192024564,1.1343370453350117
62.0,11.511868773913072,1.6328521266454719
64.0,9.2599813019231,2.4112907465582456
