Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,lat,lon,r_spring,p_spring,r_autumn,p_autumn,r_summer,p_summer,r_all,p_all
0,0,0,39.8784,116.3621,-0.0684499673862658,0.0608609933672962,0.1047939125175147,0.0577877908281393,-0.6162012707278932,0.0289199152848071,-0.4930278754003181,0.0351314749733121
1,1,1,39.9289,116.4174,-0.3293830709429823,0.0392218859442821,0.1162359737618666,0.0568225132214838,0.1924777065378403,0.0505014862308106,0.3554143292185543,0.041639044718763
2,2,2,39.8863,116.4072,0.3775056044344746,0.0354012490445724,-0.1976031895013237,0.0500033918857732,-0.4229131061600001,0.0418057929226666,-0.2267091023872695,0.0528860598408487
3,3,3,39.9365,116.462,0.057953773592791,0.0617501526441769,0.7230542046893009,0.0111664513474552,-0.7531506853254112,0.0197899543116392,-0.4082338190167395,0.0407844120655506
4,4,4,39.9295,116.3392,-0.3300133073998968,0.0391713809754472,-0.4324252119490616,0.0311396549090844,0.7957978392158163,0.0102801440522789,0.0635476217294846,0.0610968252180343
5,5,5,39.9611,116.2878,0.5985411072806188,0.0190829340481327,-0.3291090143231849,0.039243851564202,0.7399360156814749,0.014004265621235,-0.2105321549781846,0.0539645230014543
6,6,6,40.135,116.6636,-0.0384511056551783,0.0634036398834826,-0.63673566686815,0.0165335856087522,-0.9037286011859418,0.0097514265876038,-0.6361025741828725,0.0255931617211418
7,7,7,40.3275,116.6275,0.5924830261560597,0.0194960340352357,-0.1991227072138574,0.0498769742515709,-0.301607545058679,0.0498928303294214,0.1233824242895044,0.0571078383806997
8,8,8,40.217,116.2296,-0.4420168737269479,0.0304074361014868,0.3015340871098005,0.0414649896797797,0.8198300994441415,0.0086779933703905,0.6817623533314718,0.0198825097779018
9,9,9,39.9821,116.3966,0.2285471593434158,0.0474372163893788,-0.3533366176861592,0.0373108355611389,-0.2234668967951181,0.0551022068803254,0.3025795904064229,0.0451613606395717
10,10,10,39.9136,116.184,0.4487135166047177,0.0298984955079118,-0.5067748366804052,0.0255699243019027,-0.0356163922251688,0.0657077594816779,-0.0568977996386789,0.0642068133574214
11,11,11,39.1661,117.1444,-0.2570725605644138,0.0450884554645305,-0.789958505027005,0.0074562523880089,-0.7601734944848567,0.0193217670343428,0.6511503217723436,0.0219233118818437
12,12,12,39.1082,117.237,0.1446808736394286,0.0544287533141818,-0.5089658763902508,0.0254097138981142,-0.5685750185160245,0.0320949987655983,-0.1557107863048595,0.0576192809130093
13,13,13,39.0927,117.202,-0.4585613593478325,0.0291535479539601,-0.741684468026583,0.0100897461545844,-0.5444841463916634,0.0337010569072224,0.4672956677998556,0.0341802888133429
