bin,mean,std
26.0,404.77487281334516,4.259286018485216
28.0,404.2870968140292,4.422331363368942
30.0,405.4281061629206,4.9445827516927645
32.0,406.0681783800719,5.038187636826347
34.0,406.1999834523002,5.1275022922620614
36.0,406.353845025,5.106112108110072
38.0,406.4477607599498,5.1084813226411585
40.0,405.79726542157334,5.486392588211848
42.0,405.63136521841125,5.615581752911777
44.0,405.5420848678813,5.870718785200394
46.0,405.7348876825267,5.832991968626147
48.0,405.2708149948855,6.041994193620271
50.0,404.59257275921374,5.74009051929422
52.0,403.87275865447265,5.610154722440986
54.0,404.1347506894643,5.792453231871308
56.0,404.5888067895928,5.62919178296015
58.0,403.5521682953271,5.365763287672808
60.0,405.25103186564417,5.722354417385565
62.0,404.88992669999993,5.556342176895387
64.0,404.71871500576924,5.759390952559719
