Unnamed: 0,lat,lon,r_summer,p_summer,r_all,p_all
18663,39.399837,-119.73961,0.651362705,0.036559687,0.092854931,0.062720096
19026,39.399837,-119.73961,0.651362705,0.036559687,0.092854931,0.062720096
20089,39.399837,-119.73961,0.651362705,0.036559687,0.092854931,0.062720096
17232,39.602787,-119.24774,0.244823528,,0.781052137,
17940,39.602787,-119.24774,0.244823528,,0.781052137,
18293,39.602787,-119.24774,0.244823528,,0.781052137,
18659,39.602787,-119.24774,0.244823528,,0.781052137,
19022,39.602787,-119.24774,0.244823528,,0.781052137,
20086,39.602787,-119.24774,0.244823528,,0.781052137,
17586,39.47247,-118.78362,-0.395887775,0.040274148,-0.021843639,0.065210424
17939,39.47247,-118.78362,-0.395887775,0.040274148,-0.021843639,0.065210424
18292,39.47247,-118.78362,-0.395887775,0.040274148,-0.021843639,0.065210424
18658,39.47247,-118.78362,-0.395887775,0.040274148,-0.021843639,0.065210424
19021,39.47247,-118.78362,-0.395887775,0.040274148,-0.021843639,0.065210424
19385,39.47247,-118.78362,-0.395887775,0.040274148,-0.021843639,0.065210424
19745,39.47247,-118.78362,-0.395887775,0.040274148,-0.021843639,0.065210424
20085,39.47247,-118.78362,-0.395887775,0.040274148,-0.021843639,0.065210424
17082,43.577602,-116.178154,0.848061085,0.010129261,0.194850719,0.053676619
17437,43.577602,-116.178154,0.848061085,0.010129261,0.194850719,0.053676619
17793,43.577602,-116.178154,0.848061085,0.010129261,0.194850719,0.053676619
18143,43.577602,-116.178154,0.848061085,0.010129261,0.194850719,0.053676619
18510,43.577602,-116.178154,0.848061085,0.010129261,0.194850719,0.053676619
18871,43.577602,-116.178154,0.848061085,0.010129261,0.194850719,0.053676619
19236,43.577602,-116.178154,0.848061085,0.010129261,0.194850719,0.053676619
19601,43.577602,-116.178154,0.848061085,0.010129261,0.194850719,0.053676619
17230,46.842182,-114.0215,-0.33776406,0.038551234,-0.055819528,0.06193102
17584,46.842182,-114.0215,-0.33776406,0.038551234,-0.055819528,0.06193102
17937,46.842182,-114.0215,-0.33776406,0.038551234,-0.055819528,0.06193102
18290,46.842182,-114.0215,-0.33776406,0.038551234,-0.055819528,0.06193102
18656,46.842182,-114.0215,-0.33776406,0.038551234,-0.055819528,0.06193102
19019,46.842182,-114.0215,-0.33776406,0.038551234,-0.055819528,0.06193102
19743,46.842182,-114.0215,-0.33776406,0.038551234,-0.055819528,0.06193102
20083,46.842182,-114.0215,-0.33776406,0.038551234,-0.055819528,0.06193102
20325,46.842182,-114.0215,-0.33776406,0.038551234,-0.055819528,0.06193102
17229,48.5103,-113.99681,-0.11109233,0.055603135,-0.372163808,0.031168515
17583,48.5103,-113.99681,-0.11109233,0.055603135,-0.372163808,0.031168515
17936,48.5103,-113.99681,-0.11109233,0.055603135,-0.372163808,0.031168515
18289,48.5103,-113.99681,-0.11109233,0.055603135,-0.372163808,0.031168515
18655,48.5103,-113.99681,-0.11109233,0.055603135,-0.372163808,0.031168515
19018,48.5103,-113.99681,-0.11109233,0.055603135,-0.372163808,0.031168515
19383,48.5103,-113.99681,-0.11109233,0.055603135,-0.372163808,0.031168515
19742,48.5103,-113.99681,-0.11109233,0.055603135,-0.372163808,0.031168515
20082,48.5103,-113.99681,-0.11109233,0.055603135,-0.372163808,0.031168515
20324,48.5103,-113.99681,-0.11109233,0.055603135,-0.372163808,0.031168515
17261,32.317593,-106.76833,-0.050847456,0.062352461,-0.665125754,0.014704383
17616,32.317593,-106.76833,-0.050847456,0.062352461,-0.665125754,0.014704383
17970,32.317593,-106.76833,-0.050847456,0.062352461,-0.665125754,0.014704383
18323,32.317593,-106.76833,-0.050847456,0.062352461,-0.665125754,0.014704383
18688,32.317593,-106.76833,-0.050847456,0.062352461,-0.665125754,0.014704383
19051,32.317593,-106.76833,-0.050847456,0.062352461,-0.665125754,0.014704383
19413,32.317593,-106.76833,-0.050847456,0.062352461,-0.665125754,0.014704383
19771,32.317593,-106.76833,-0.050847456,0.062352461,-0.665125754,0.014704383
