bin,mean,std
25.5,0.22018026745238095,0.6077947055158524
26.5,0.2837171649210526,0.6072273699247706
27.5,0.2712746151064357,0.5916878040957937
28.5,0.3096383563386076,0.5458131156188529
29.5,0.33839255538674035,0.5592741206763647
30.5,0.3444045916487214,0.5383480918815507
31.5,0.28032227403363913,0.5852268779471389
32.5,0.34845968226543217,0.4654757329566899
33.5,0.2775979716853933,0.518963477744316
34.5,0.31375597994370863,0.483944427361591
35.5,0.24524087159729274,0.5267861864784992
36.5,0.22528685476782756,0.5219845675771327
37.5,0.24404825961224488,0.530637091609867
38.5,0.1319702121938144,0.47439196853423726
39.5,0.251166551857931,0.5130792242589196
40.5,0.15826539939699075,0.5505076295168231
41.5,0.14233238142192983,0.5267706840258177
42.5,0.15127032340047114,0.501371989224697
43.5,0.2078618383333333,0.500503753329335
44.5,0.18958789250164476,0.5150540830661644
45.5,0.10929808481684981,0.4822254642896058
46.5,0.15050000252347417,0.49987468898016096
47.5,0.0618881328253359,0.4879951522943266
48.5,0.03466343385888889,0.4671505277091868
49.5,0.12506579275529411,0.4712215355678625
50.5,0.10841235989716981,0.5103407155309385
51.5,0.11908868199070387,0.5546383979510209
52.5,0.05635687830933852,0.5271536473232018
53.5,0.08400414943103447,0.5329955648914836
54.5,0.29337878029310355,0.43666184366532007
