bin,mean,std
26.0,-0.10793222178150194,0.6580420080817729
28.0,-0.022189822334096245,0.5987655322992982
30.0,-0.11333721926701835,0.5724891971509948
32.0,-0.08124007521378203,0.5687260025990135
34.0,-0.059023065246680904,0.5697276583968613
36.0,-0.10059492503404709,0.538474938325465
38.0,0.0030527871301828944,0.5542301972098688
40.0,-0.11969725484980251,0.5336225924070429
42.0,-0.12715481081888996,0.5309623935688632
44.0,-0.19018393087365548,0.5407556224062342
46.0,-0.25754659856973394,0.5130374374853628
48.0,-0.11152512969131101,0.5028150972581225
50.0,-0.14087538602318359,0.5117846116612651
52.0,-0.0733156635406846,0.49985395847066805
54.0,-0.03299162124211469,0.5909880141622632
56.0,-0.17824577133142142,0.5166045546434461
58.0,,
60.0,-0.1473561755905799,0.4672486907354331
62.0,,
64.0,-0.25962165137546817,0.4139805200266597
