bin,mean,std
26.0,27.66576512455516,12.53300551589919
28.0,30.56918069584736,12.417212660668993
30.0,32.27110363391655,12.458603220503857
32.0,29.265230215827337,11.588185110518117
34.0,33.12163034705407,15.09762098504764
36.0,34.027472451790636,18.35367274749781
38.0,35.892257525083615,17.922827849262035
40.0,38.47740347490347,18.683143299445966
42.0,44.052987174182874,19.40642814172518
44.0,49.057522123893804,22.155494947747187
46.0,42.232005742411815,22.207879951699706
48.0,39.70566000974184,19.11170557870172
50.0,37.614304668304676,16.335465204132777
52.0,35.86794181818182,13.202194183346823
54.0,31.567160714285716,11.443191627209083
56.0,29.2637556561086,8.937757415286242
58.0,25.888878504672896,12.195379263383417
60.0,25.48858895705521,9.491948598312513
62.0,23.573043478260868,7.660281771853866
64.0,14.757692307692308,5.55389593521265
